date,institut,subject,link
2026-03-14,ODOXA,Six Nations : 71% des Français pronostiquent un nouveau titre,https://www.odoxa.fr/sondage/six-nations-71-des-francais-pronostiquent-un-nouveau-titre/
2026-03-13,HARRIS INTERACTIVE,Les Français et les élections municipales​,https://tolunacorporate.com/fr/les-francais-et-les-elections-municipales-2/
2026-03-13,IFOP,Jour de vote : suivez les municipales 2026,https://www.ifop.com/article/jour-de-vote-suivez-les-municipales-2026
2026-03-13,IFOP,Le climat politique à Nice,https://www.ifop.com/article/le-climat-politique-a-nice-4
2026-03-13,IFOP,Le climat électoral à Limoges,https://www.ifop.com/article/le-climat-electoral-a-limoges
2026-03-12,CSA,Baromètre Lesfurets : les dépenses contraintes des Français repartent à la hausse,https://csa.eu/news/barometre-lesfurets-les-depenses-contraintes-des-francais-repartent-a-la-hausse/
2026-03-12,IFOP,Le climat politique à Nîmes,https://www.ifop.com/article/le-climat-politique-a-nimes
2026-03-12,ODOXA,Les municipales intéressent les Français et devraient mobiliser,https://www.odoxa.fr/sondage/ces-municipales-interessent-les-francais-et-devraient-etre-un-succes/
2026-03-11,ODOXA,"« Ma commune, mon maire et moi » : sécurité, santé et éducation en tête des priorités",https://www.odoxa.fr/sondage/prochain-mandat-municipal-la-securite-la-sante-et-leducation-en-tete-des-priorites/
2026-03-11,ELABE,"Les Français, la guerre en Iran et le prix de l’essence",https://elabe.fr/guerre-iran-prix-essence/
2026-03-10,IFOP,Le climat électoral à Agen,https://www.ifop.com/article/le-climat-electoral-a-agen
2026-03-10,IFOP,Le climat électoral à Montauban,https://www.ifop.com/article/le-climat-electoral-a-montauban
2026-03-10,IFOP,Le climat politique à Lunel,https://www.ifop.com/article/le-climat-politique-a-lunel
2026-03-10,IFOP,Les pratiques de mobilité des Français et le potentiel du covoiturage au quotidien,https://www.ifop.com/article/les-pratiques-de-mobilite-des-francais-et-le-potentiel-du-covoiturage-au-quotidien
2026-03-09,IFOP,Le climat électoral à Dijon,https://www.ifop.com/article/le-climat-electoral-a-dijon
2026-03-09,IFOP,Le climat électoral à Roubaix,https://www.ifop.com/article/le-climat-electoral-a-roubaix
2026-03-07,ODOXA,Paul Seixas doit faire le Tour pour 65% des Français qui le connaissent,https://www.odoxa.fr/sondage/paul-seixas-doit-faire-le-tour-pour-65-des-francais-qui-le-connaissent/
2026-03-07,ELABE,Les élections municipales 2026 à Paris,https://elabe.fr/municipales-paris-3/
2026-03-06,HARRIS INTERACTIVE,Les Français et l’infertilité​,https://tolunacorporate.com/fr/les-francais-et-linfertilite/
